,Topic,Score,positive_documents,documents,positive_percentage,colors
0,report,91346.02250145648,39463,44620,0.8844240251008516,#00692a
1,Global,85150.04752810198,37426,43435,0.861655347070335,#03702e
2,Product,76225.17430389539,37655,43158,0.8724917744103063,#006d2c
4,share,60067.35009194885,34149,38175,0.8945383104125737,#006529
3,Region,61351.880232508876,31383,36954,0.8492450073063809,#077331
6,Industry,55768.16093005191,33299,36670,0.9080719934551404,#006227
5,Segment,56929.770659123395,32740,35950,0.9107093184979138,#006027
26,offers,37564.95660455714,32514,35264,0.9220167876588021,#005c25
7,Industries,55455.6976239556,29543,34769,0.8496936926572521,#077331
19,CAGR,40776.165627355935,29428,34595,0.8506431565255095,#077331
8,Business,52958.852194976746,30668,34334,0.8932253742645774,#006729
11,Trends,48440.423699793326,30058,34300,0.8763265306122449,#006c2c
17,provides,41969.60309581889,30403,33703,0.9020858677269086,#006428
21,expected,40390.2492720488,30163,33171,0.9093183805130988,#006227
12,increasing,47198.03850765088,30064,33165,0.9064978139605006,#006227
