,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Insurance,14181.166892395435,3722,6422,0.5795702273435067,#53b466
1,Group,9367.198341443946,3010,5767,0.5219351482573261,#6bc072
3,services,7622.080826015114,3787,5264,0.7194148936170213,#2a924a
5,Euro,7050.791605735667,318,4935,0.06443768996960486,#eef8ea
2,business,7769.711791353527,3660,4698,0.7790549169859514,#1a843f
10,partner,6123.227355818217,2652,4614,0.5747724317295189,#55b567
9,Market,6395.544700863721,3335,4558,0.7316805616498464,#278f48
8,provides,6420.605220515298,3749,4452,0.8420934411500449,#097532
17,offers,5012.045438545344,3546,4212,0.8418803418803419,#097532
13,clients,5675.92195397551,2457,4154,0.591478093403948,#4eb264
12,financial,5687.465664751538,2982,4056,0.735207100591716,#268e47
4,risk,7385.259367993941,2798,4053,0.690352825067851,#319a50
14,Global,5386.506780535717,2553,3846,0.6638065522620905,#38a156
7,companies,6507.117336395776,3138,3749,0.8370232061883169,#0a7633
16,Product,5200.377419136842,3030,3701,0.8186976492839773,#107a37
