,Topic,Score,positive_documents,documents,positive_percentage,colors
2,Business,42778.56020570699,22531,26483,0.8507721934826115,#077331
0,Services,46646.18535597733,21403,25599,0.8360873471619985,#0a7633
1,Global,43052.08371980123,20525,24751,0.8292594238616622,#0c7735
4,Technology,35272.91779920501,19902,22780,0.8736611062335382,#006d2c
9,companies,27066.061226359787,18521,21078,0.8786886801404308,#006c2c
10,provides,24710.705507054783,19042,20320,0.9371062992125985,#005924
3,report,36059.190633131555,16518,19748,0.8364391330767673,#0a7633
7,industry,28113.58869845996,18021,19716,0.9140292148508825,#006027
8,Solutions,27998.876508390516,17476,19445,0.8987400359989715,#006428
18,information,22094.70970167444,17205,19142,0.8988089018911295,#006428
6,growth,28868.1760576169,16864,18681,0.9027353996038756,#006328
15,leading,22763.990054423357,16840,18631,0.9038698942622511,#006328
26,offers,19407.820903603006,16613,18013,0.9222783545217343,#005c25
11,Digital,24599.94565286956,13466,17465,0.771027769825365,#1d8640
5,Research,29621.04244397522,15181,17123,0.8865852946329499,#00692a
