,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Nike,6331.2322656545075,1810,6465,0.279969064191802,#fba05b
1,West,5570.51974414904,1084,5250,0.20647619047619048,#f47044
4,brand,3476.5438133443904,1852,3613,0.5125934126764462,#fafdb8
2,Kanye West,3704.5941832682033,640,3350,0.191044776119403,#f16640
5,shoes,2975.2717796268485,1904,3265,0.5831546707503829,#dff293
20,Dropped,1800.5321539571478,1055,3158,0.33407219759341356,#fdbf6f
14,deal,1885.2194084675841,832,3132,0.2656449553001277,#fa9857
3,Yeezy,3617.9928244962425,890,3102,0.2869116698903933,#fca55d
11,share,2022.917273475263,2618,2856,0.9166666666666666,#15904c
18,items,1825.4049113743,2501,2697,0.9273266592510196,#128a49
17,Size,1862.5716007120004,1527,2673,0.5712682379349046,#e3f399
13,team,1934.0223686801849,1846,2661,0.6937241638481774,#a9da6c
6,Sports,2442.057017880903,1388,2583,0.5373596593108788,#f1f9ac
8,Black,2374.16981696905,1039,2477,0.41945902301170773,#fee695
21,wearing,1783.2035184185145,1284,2396,0.5358931552587646,#f1f9ac
