,Topic,Score,positive_documents,documents,positive_percentage,colors
0,$ADBE,9956.997457151847,3673,11655,0.31514371514371514,#b4e1ad
6,Microsoft,7684.019648249041,6418,9211,0.6967755943980024,#2f984f
12,design,6622.205814879695,5423,7044,0.7698750709823964,#1d8640
2,Software,9419.476278341248,4391,6834,0.6425226807140767,#3da65a
1,report,9733.890321960895,4627,6493,0.712613583859541,#2c944c
8,Product,7496.018629862197,4808,6311,0.7618443986689907,#1f8742
3,Global,9108.216264489414,4136,6126,0.6751550767221678,#359e53
4,Business,7877.966469986065,5018,6050,0.8294214876033058,#0c7735
23,create,5310.694230040216,5125,5906,0.8677615983745344,#016e2d
5,shares,7766.626255011451,4907,5782,0.8486682808716707,#077331
10,Digital,6962.612024456341,3905,5070,0.7702169625246549,#1d8640
11,Services,6846.667693711026,4048,5001,0.8094381123775245,#127c39
43,$MSFT,4262.765625,1473,4931,0.2987223686878929,#b8e3b2
49,$TSLA,4111.3267857142855,1461,4864,0.3003700657894737,#b8e3b2
18,Figma,5504.981878802544,1472,4683,0.3143284219517403,#b4e1ad
