,Topic,Score,positive_documents,documents,positive_percentage,colors
3,hotel,5825.583489863574,4570,10195,0.4482589504659147,#87cd86
1,book,7080.1318295933515,4609,8155,0.5651747394236665,#5ab769
0,rental,7272.8457772267375,4204,7933,0.5299382326988529,#68be70
4,home,5414.236301446797,4070,6858,0.5934674832312627,#4eb264
2,host,5977.935925321274,4087,6621,0.6172783567436944,#43ac5e
5,house,4988.168523640739,3174,5767,0.5503728108201839,#60ba6c
6,experience,3635.0875634072545,3727,4361,0.8546204998853474,#067230
13,$ABNB,2909.5328373015855,1363,3994,0.3412618928392589,#abdda5
11,listing,3200.2256404164564,2980,3984,0.7479919678714859,#238b45
26,shows,2180.107704475179,1390,3866,0.3595447490946715,#a5db9f
9,market,3384.5290632173364,2057,3629,0.5668228162028107,#58b668
14,room,2896.975529077303,2009,3628,0.5537486218302095,#5eb96b
17,vacation,2830.7930624532505,2634,3537,0.7446988973706531,#248c46
7,guests,3498.4598453287063,2010,3363,0.5976806422836753,#4bb062
8,business,3484.065095403656,2209,3241,0.681579759333539,#339c52
