,Topic,Score,positive_documents,documents,positive_percentage,colors
3,Stadium,9669.299518721211,3651,7930,0.4604035308953342,#83cb82
0,Group,12236.742791537947,4311,7551,0.5709177592371871,#56b567
1,Market,11060.339500032056,4887,7550,0.6472847682119205,#3ca559
6,business,8222.991055799042,4248,6432,0.6604477611940298,#38a156
5,report,9057.916608728094,4041,6185,0.653354890864996,#3aa357
2,Global,9793.796074245498,2920,5931,0.49232844377002194,#76c578
17,bereits,6393.687429128333,128,5907,0.021669206026747927,#f4fbf2
38,show,4787.007050207416,1740,5869,0.2964729936956892,#bae3b3
35,Palmeiras,4894.9138145944,287,5527,0.051926904288040525,#f0f9ec
29,sowie,5416.922244657104,105,5282,0.019878833775085196,#f4fbf2
9,Bank,7396.027269730555,2281,5252,0.4343107387661843,#8bcf89
30,Paulo,5083.122262047115,439,5195,0.08450433108758422,#ebf7e7
14,Services,7017.624283521496,3305,5182,0.6377846391354689,#3ea75a
10,Euro,7260.712028889307,350,5078,0.06892477353288697,#edf8ea
26,Team,5534.757537409795,3365,5074,0.6631848640126133,#38a156
