,Topic,Score,positive_documents,documents,positive_percentage,colors
0,PayPay,13213.6875,12444,18491,0.6729760423990049,#b3df72
4,応募,4844.875297619315,12426,16758,0.7414965986394558,#8ccd67
1,iTunes,12798.9125,10852,16166,0.6712854138314982,#b5df74
5,ゼン,4335.000000000219,11912,15586,0.7642756319774157,#7dc765
2,Google,10567.811288176463,9370,13269,0.7061572085311628,#a2d76a
15,応募方法,2863.2233969065787,8197,11896,0.6890551445864156,#abdb6d
12,選べる,3084.833658232586,8039,10023,0.8020552728723935,#63bc62
8,引用,3325.191666666671,7720,9754,0.7914701660857084,#6bbf64
41,締切,1723.9999999999984,4958,8430,0.5881376037959668,#ddf191
13,投稿,3057.933928571428,7714,8306,0.9287262220081869,#128a49
3,いいね,4934.466666666667,5580,7925,0.7041009463722397,#a2d76a
10,あわ あわ プ レ ゼン,3138.4164961963656,7100,7291,0.9738033191606089,#06733d
25,000円,2110.3791666666666,6430,7189,0.89442203366254,#1e9a51
29,引用取得,1997.9437499998858,4884,5580,0.875268817204301,#2aa054
24,下記ギフト,2171.124999999741,4887,5489,0.8903261067589725,#219c52
