,Topic,Score,positive_documents,documents,positive_percentage,colors
2,Amex,16323.97524558919,11053,23876,0.4629334896967666,#81ca81
0,Business,18956.682083515327,9902,13769,0.7191517176265524,#2a924a
1,Visa,16686.811209769814,4480,13739,0.3260790450542252,#b0dfaa
4,Market,15884.285574554919,8940,12030,0.743142144638404,#248c46
6,services,15097.612550807873,8343,11524,0.723967372440125,#29914a
3,Bank,15904.53087999745,6026,10698,0.5632828566087119,#5ab769
8,Mastercard,13593.766407666766,3477,10686,0.32537900056148233,#b0dfaa
17,companies,9854.72663056128,4881,10650,0.45830985915492956,#83cb82
5,report,15662.430528243485,6963,10430,0.6675934803451582,#37a055
12,offer,11344.750673317083,7868,10005,0.7864067966016991,#18823d
48,information,7009.123847748545,8006,9408,0.8509778911564626,#077331
28,United,8107.281660736665,5016,9377,0.5349258824784046,#66bd6f
14,purchases,11154.082532625178,6166,9355,0.6591127739176911,#39a257
31,sales,7983.32300691415,5709,9134,0.6250273702649441,#40aa5d
18,provides,9641.007385358203,7741,9072,0.8532848324514991,#067230
