,Topic,Score,positive_documents,documents,positive_percentage,colors
0,iPhone,21552.927111575835,5164,16554,0.3119487737102815,#fdb365
1,App,7860.69990404804,2737,7590,0.3606060606060606,#fecc7b
2,Google,6188.850616982212,1865,5786,0.3223297614932596,#fdb96a
5,iPad,4857.764226769776,2512,4691,0.5354934981880196,#f1f9ac
4,iOS,4868.659927172734,1129,4176,0.2703544061302682,#fa9b58
15,Twitter,3485.007211445026,990,4068,0.24336283185840707,#f88950
16,Music,3480.5120686393357,2014,4002,0.5032483758120939,#feffbe
8,products,4117.38951153597,2458,3988,0.6163490471414242,#d1ec86
18,phone,3303.8562203981605,1679,3757,0.44689912163960605,#feefa3
7,devices,4250.261143910385,2016,3540,0.5694915254237288,#e5f49b
6,Android,4323.896205252201,1479,3400,0.435,#feeb9d
11,users,3737.3007559251023,1691,3343,0.505833084056237,#fdfebc
9,market,3873.5349051185635,1877,3341,0.561807841963484,#e8f59f
14,features,3516.568960268148,2188,3333,0.6564656465646564,#bbe278
20,available,3152.9926829948517,2457,3269,0.7516059957173448,#84ca66
