,Topic,Score,positive_documents,documents,positive_percentage,colors
0,BMW,6791.184971734608,1987,6986,0.2844259948468365,#bde5b6
1,Porsche,6534.166001193372,1344,5960,0.22550335570469798,#cdecc7
2,Volkswagen,5446.115443787749,1105,4484,0.24643175735950046,#c8e9c1
3,Mercedes,5181.516322903599,1150,4366,0.26339899221255153,#c3e7bc
4,Auto,5137.3114446596055,1061,4344,0.24424493554327809,#c9eac2
39,RS6,2076.5050539256094,533,4043,0.13183279742765272,#e4f5df
5,Motor,4732.49403974241,1202,3988,0.3014042126379137,#b7e2b1
6,Team,4630.252026464656,2149,3853,0.55774720996626,#5db96b
9,Model,4092.104504168098,1786,3424,0.5216121495327103,#6bc072
7,vehicle,4342.82935206264,2147,3246,0.6614294516327788,#38a156
10,Sport,3848.3179122047145,1629,3106,0.5244687701223438,#6abf71
12,brand,3140.350081165682,1928,3033,0.6356742499175734,#3fa85b
8,e-tron,4229.963743353772,1140,3001,0.37987337554148615,#9fd899
15,Ford,2843.6781144819465,839,2772,0.30266955266955264,#b7e2b1
40,United,2037.5254320783245,1068,2635,0.40531309297912715,#97d492
