,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Auto,4238.13036405753,970,3677,0.2638020125101985,#c3e7bc
4,Model,3675.865152967029,1656,3166,0.5230574857864814,#6bc072
1,Motor,3763.212261543937,1145,3138,0.3648820905035054,#a4da9e
2,vehicle,3743.3989934527926,1797,2873,0.6254785938043856,#40aa5d
3,Series,3739.147759834206,1386,2815,0.49236234458259326,#76c578
9,service,2630.323742752335,1446,2785,0.5192100538599641,#6dc072
7,Mercedes,3087.0434627660156,741,2655,0.2790960451977401,#bee5b8
5,Audi,3259.8248130952843,702,2606,0.2693783576362241,#c2e7bb
13,drive,2372.2956728961963,1641,2538,0.6465721040189125,#3ca559
6,Sport,3188.8280363586327,1311,2524,0.5194136291600634,#6dc072
12,driver,2382.5357544507588,1168,2428,0.48105436573311366,#7ac77b
17,driving,2195.1658729611686,1353,2210,0.6122171945701358,#46ae60
11,km,2405.729663188504,449,2206,0.20353581142339075,#d2edcc
38,Owner,1649.9663868554308,1378,2002,0.6883116883116883,#319a50
31,video,1741.8801297660673,932,1989,0.4685771744595274,#80ca80
