,Topic,Score,positive_documents,documents,positive_percentage,colors
0,beer,14462.35549869221,7486,13332,0.5615061506150615,#e8f59f
1,Qatar,14230.842827064776,3319,11104,0.2989012968299712,#fdad60
3,FIFA,12666.178383598348,3213,10634,0.3021440662027459,#fdaf62
5,drink,6857.5686134290545,3361,8841,0.3801606153150096,#fed683
2,Cup,13177.098497502582,4477,8381,0.5341844648609951,#f2faae
16,Match,4130.227408883173,5127,6904,0.7426129779837776,#89cc67
15,Bud Light,4184.67155449473,2481,6500,0.3816923076923077,#fed683
4,alcohol,7115.896906921333,2137,5849,0.365361600273551,#fece7c
35,Player,2968.336134370791,4595,5691,0.807415217009313,#60ba62
7,game,5811.942242154164,3798,5640,0.6734042553191489,#b3df72
6,stadiums,6509.148782815829,2288,5238,0.43680794196258116,#feeb9d
27,win,3226.752911347209,3807,5019,0.7585176329946205,#7fc866
14,Copa,4338.439793715028,227,4750,0.04778947368421053,#bd1726
9,sponsor,5330.224537931625,1994,4485,0.44459308807134895,#feeda1
13,country,4432.714290964588,2298,4279,0.537041364804861,#f1f9ac
