,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Bright,3752.45406746032,8113,11780,0.6887096774193548,#abdb6d
6,ไบร์ท,1612.5450624221885,2935,10795,0.27188513200555814,#fa9b58
1,brand,3117.899900314499,5060,6940,0.729106628242075,#93d168
24,ใน,948.9254583648071,1161,6570,0.17671232876712328,#ed5f3c
5,ไป,1812.2141108890958,1688,6450,0.26170542635658917,#f99355
11,Bright Vachirawit,1372.9187499999991,4142,5634,0.7351792687255946,#8ecf67
31,ที่,860.855803866758,1323,4855,0.2725025746652935,#fa9b58
28,มาก,892.1880952380909,2452,4846,0.5059843169624433,#fdfebc
2,London,2362.2998826130297,3690,4805,0.7679500520291364,#7ac665
33,แบรนด์,846.9371031746073,942,4741,0.198692259017085,#f36b42
10,BA,1388.3188905457253,2381,4676,0.5091958939264328,#fbfdba
19,TB Summer Monogram,999.5651533350592,978,3729,0.26226870474658087,#fa9656
38,Brand Ambassador,810.7741709770505,2788,3581,0.778553476682491,#73c264
4,show,1872.2245471335418,2852,3395,0.840058910162003,#45ad5b
36,trench,828.8585819394266,1662,3115,0.5335473515248796,#f2faae
