,Topic,Score,positive_documents,documents,positive_percentage,colors
0,EOS,3995.1420479910835,2269,3579,0.6339759709416039,#3fa85b
1,camera,3915.401787601706,2553,3486,0.7323580034423408,#278f48
2,Model,2480.8375456198933,2465,3220,0.765527950310559,#1f8742
7,越し,1457.5124999999998,2797,3206,0.872426699937617,#006d2c
4,Photography,2431.8199284536477,2616,3011,0.8688143473928928,#016e2d
3,Shot,2445.2972007061826,2435,2855,0.8528896672504378,#067230
5,shoot,2042.0513876543848,2246,2521,0.8909163030543436,#006729
6,写真,1482.832489030577,1594,2064,0.7722868217054264,#1d8640
11,撮影,1266.909049488092,1476,1978,0.7462082912032356,#238b45
10,カメラ,1321.7587399579559,1422,1907,0.7456738332459361,#248c46
15,beautiful,1134.096875,1629,1675,0.9725373134328358,#004d1f
12,light,1249.591649185619,1297,1561,0.8308776425368354,#0c7735
8,image,1436.936539000501,1282,1518,0.8445322793148881,#087432
20,Location,1057.7699404761904,1095,1391,0.7872034507548527,#18823d
9,video,1334.2471008488337,1060,1389,0.7631389488840893,#1f8742
