,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Market,21330.685501196014,9909,13083,0.7573950928686081,#218944
1,report,20128.734288596774,8237,11501,0.7161985914268324,#2b934b
4,equipment,15480.513153614289,8417,10786,0.7803634340812164,#1a843f
10,business,12931.143563620975,7924,10507,0.754163890739507,#218944
2,stock,19320.746399934855,6545,9961,0.657062543921293,#39a257
7,products,14179.794819835166,7584,9438,0.803560076287349,#147e3a
8,increased,13653.231506473549,6935,9400,0.7377659574468085,#268e47
3,Group,16008.859062483309,6966,9380,0.7426439232409382,#248c46
25,high,8826.14338623648,6984,9194,0.7596258429410485,#208843
9,Services,13081.134037957949,6973,8729,0.7988314812693321,#157f3b
14,additional,10645.342555272093,7369,8331,0.8845276677469691,#00692a
19,results,9689.212738336108,6042,8308,0.7272508425613866,#289049
18,billion,10135.564787013438,7013,8048,0.87139662027833,#006d2c
23,provide,9012.360316931761,7017,7827,0.8965120735914144,#006529
36,According,7806.449058753757,5801,7765,0.747070186735351,#238b45
