,Topic,Score,positive_documents,documents,positive_percentage,colors
1,d’Art,3889.900248862102,2862,4303,0.6651173599814083,#37a055
0,Métiers,4263.480766006119,2578,4014,0.6422521175884405,#3da65a
3,création,1287.3025220490288,1236,1485,0.8323232323232324,#0b7734
2,collection,1290.5153297506426,1128,1318,0.8558421851289834,#05712f
9,artisans,1067.0291916416913,1098,1315,0.834980988593156,#0b7734
13,sunglasses,902.2794517982018,523,1241,0.42143432715551976,#91d28e
7,Ateliers,1113.7512997419249,943,1214,0.7767710049423394,#1c8540
11,pièces,933.5190642690636,1024,1123,0.9118432769367765,#006027
4,Paris,1282.62336513227,831,1047,0.7936962750716332,#16803c
5,suit,1263.0415549728032,763,993,0.7683786505538771,#1e8741
14,House,891.7114819208549,566,958,0.5908141962421712,#4eb264
8,show,1089.9986947998884,711,952,0.7468487394957983,#238b45
17,présente,765.5634920634919,766,921,0.8317046688382194,#0c7735
6,fashion,1222.090915788601,727,912,0.7971491228070176,#157f3b
12,design,923.8782813122542,777,910,0.8538461538461538,#067230
