,Topic,Score,positive_documents,documents,positive_percentage,colors
3,Business,30962.818550016837,17044,20544,0.8296339563862928,#0c7735
2,Services,32105.555052456562,15984,19286,0.8287877216633828,#0c7735
1,Global,35098.49033232585,15789,19242,0.8205487995010914,#0e7936
0,report,36188.114760449855,15456,19224,0.8039950062421972,#147e3a
4,Network,30561.4909117913,13725,19147,0.7168224787172925,#2b934b
9,Technology,24690.358611120715,15136,17799,0.8503848530816338,#077331
14,provides,22565.26332814581,15980,17769,0.8993190387753953,#006428
8,Industry,25053.1005687707,15052,16871,0.8921818505127141,#006729
6,Solutions,25158.153070290937,14978,16862,0.8882694816747717,#00682a
5,growth,27852.76320552104,14359,16362,0.8775822026647109,#006c2c
25,information,18720.49225353452,14105,16102,0.87597813936157,#006c2c
19,companies,19865.60338799318,13812,15992,0.8636818409204602,#026f2e
30,offers,17016.828484211946,13851,15627,0.8863505471299674,#00692a
13,Share,22825.35618687576,13522,15549,0.8696379188372243,#016e2d
12,Key,24213.17322853608,13438,15503,0.8667999741985423,#026f2e
