,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Bank,34878.82663244312,9754,24490,0.39828501429154756,#99d595
12,provide,8494.102581714666,7444,14850,0.5012794612794613,#73c476
15,million,8048.911522798879,5338,13388,0.39871526740364505,#98d594
1,Market,13804.184533911235,6729,10257,0.6560397777127815,#3aa357
2,Business,13697.119332162856,7429,10110,0.7348170128585559,#268e47
3,Credit,12838.316787206939,5319,9958,0.5341434022896164,#66bd6f
5,services,11549.626604849202,6170,9442,0.6534632493115865,#3aa357
4,financial,12629.557456497876,6519,9372,0.6955825864276568,#2f984f
6,Global,10573.097173666138,5558,8364,0.6645145863223338,#37a055
10,Card,9253.282681802475,4090,8026,0.5095938200847246,#70c274
8,account,9457.389152556438,3856,7948,0.4851534977352793,#79c67a
11,investment,8776.973916333094,5365,7425,0.7225589225589225,#2a924a
7,Offer,9805.92392529163,5896,7328,0.8045851528384279,#147e3a
14,Fund,8182.238684958478,4433,7172,0.6180981595092024,#43ac5e
25,customers,6996.697370135721,3904,6942,0.5623739556323826,#5bb86a
