,Topic,Score,positive_documents,documents,positive_percentage,colors
6,Holidays,9542.756903623835,17014,18374,0.9259823663872864,#005b25
27,Coke Bottle,5660.6550000000025,3918,13521,0.2897714666074995,#bbe4b4
0,market,13197.131834633548,8204,9472,0.8661317567567568,#026f2e
5,drinks,10771.045825352065,7667,9406,0.8151180097809908,#117b38
9,billion,8356.656211469974,6102,6715,0.9087118391660461,#006227
10,business,7687.989910523086,5553,6548,0.848045204642639,#077331
12,sells,7484.507221199443,4783,5882,0.8131587895273716,#117b38
32,offers,4612.404006757127,5436,5750,0.945391304347826,#005522
1,beverage,12433.887771651656,5251,5742,0.9144897248345524,#005f26
3,Group,11793.726106436612,4711,5740,0.8207317073170731,#0e7936
24,Christmas,5908.930075797266,5320,5736,0.9274755927475593,#005b25
4,report,11719.831749441368,4788,5581,0.8579107686794482,#05712f
26,sale,5850.109249227054,5010,5505,0.9100817438692098,#006227
49,found,3958.6945022297896,4602,5375,0.8561860465116279,#05712f
41,provides,4216.711505941966,4984,5305,0.9394910461828464,#005723
