,Topic,Score,positive_documents,documents,positive_percentage,colors
0,mouthwash,745.1791666666667,193,334,0.5778443113772455,#55b567
31,receipt,187.98958333333334,156,281,0.5551601423487544,#5db96b
6,California,330.3125,153,275,0.5563636363636364,#5db96b
7,Arizona,326.40625,157,275,0.5709090909090909,#56b567
10,Mexico,321.71875,152,269,0.5650557620817844,#5ab769
9,Idaho,321.71875,150,267,0.5617977528089888,#5bb86a
11,Nevada,319.375,149,266,0.5601503759398496,#5bb86a
8,Indiana,322.1875,148,266,0.556390977443609,#5db96b
13,Georgia,318.59375,148,265,0.5584905660377358,#5db96b
12,Montana,318.59375,148,265,0.5584905660377358,#5db96b
15,Utah,316.40625,148,264,0.5606060606060606,#5bb86a
16,Oregon,317.8125,147,264,0.5568181818181818,#5db96b
5,over-the-counter,340.3854166666667,148,259,0.5714285714285714,#56b567
2,FDA,505.39424603174615,134,259,0.5173745173745173,#6dc072
18,deodorants,301.48593732656235,133,243,0.5473251028806584,#60ba6c
