,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Extra,10168.60406746032,4404,6598,0.6674749924219461,#37a055
1,Light,6783.611119803835,3604,4255,0.8470035252643948,#087432
3,Mexico,5510.202254540975,2986,3405,0.8769456681350954,#006c2c
2,wine,6421.564683996632,3120,3330,0.9369369369369369,#005924
18,High,3402.2951388888882,3054,3330,0.9171171171171171,#005f26
15,Hard,3932.861048673549,2970,3251,0.9135650569055676,#006027
7,report,4871.979110398208,2980,3242,0.919185687847008,#005e26
4,Modelo Especial,5454.474479166666,2905,3200,0.9078125,#006227
10,market,4802.0934452857955,2776,3152,0.8807106598984772,#006b2b
6,Pacifico,4907.784744769119,2904,3151,0.9216121866074262,#005e26
14,imports,4005.7312610214517,2937,3149,0.9326770403302636,#005a24
8,STZ,4868.479581529571,2887,3072,0.9397786458333334,#005723
11,Italy,4751.666666666666,2878,3058,0.9411379986919556,#005723
5,Modelo Negra,5165.6171875,2821,3017,0.9350348027842227,#005924
12,Zealand,4621.479166666666,2796,2974,0.9401479488903833,#005723
