,Topic,Score,positive_documents,documents,positive_percentage,colors
0,shipping,12823.432845981975,7671,11327,0.6772313940143021,#349d53
1,delivery,12174.742024596302,7131,11227,0.6351652266856684,#3fa85b
5,order,5940.218572239044,5062,6595,0.7675511751326762,#1e8741
3,Worldwide,6988.318303571431,5432,6012,0.9035262807717898,#006328
10,FedEx,4028.7433576883323,1402,5966,0.23499832383506536,#cbeac4
4,Service,6758.827946366599,3535,5603,0.6309120114224522,#3fa95c
6,International,5475.432511460531,3112,4959,0.6275458761847147,#40aa5d
2,Express,7160.299741736346,2463,4269,0.5769501054111033,#55b567
15,WhatsApp,3534.92708333333,3005,4079,0.7367001716106889,#268e47
16,Available,3466.08328735316,3424,3936,0.8699186991869918,#016e2d
17,package,3418.5248179927526,1303,3900,0.3341025641025641,#aedea7
13,Pay,3589.688986309311,1454,3718,0.3910704679935449,#9bd696
9,business,4295.21771587821,2651,3636,0.7290979097909791,#289049
7,Global,5187.516043962496,2080,3362,0.6186793575252826,#43ac5e
27,Price,2626.6731486674885,2654,3345,0.793423019431988,#16803c
