,Topic,Score,positive_documents,documents,positive_percentage,colors
4,Nestle,7137.636119314886,2802,5923,0.4730710788451798,#7dc87e
0,Food,9957.085440563042,3986,5261,0.757650636761072,#218944
1,Global,8779.608720265875,3970,5030,0.7892644135188867,#17813d
2,Product,8609.101765793996,4271,4984,0.8569422150882825,#05712f
7,Region,6789.791386987092,3052,4700,0.6493617021276595,#3ba458
5,Group,6879.421126446942,2961,4456,0.6644973070017953,#37a055
11,industry,6054.6068251270335,4011,4433,0.9048048725468081,#006328
3,report,8059.178032596693,3623,4350,0.8328735632183908,#0b7734
12,Business,6031.353055083397,3582,4337,0.8259165321650911,#0d7836
17,companies,4942.184133089547,3661,4179,0.8760469011725294,#006c2c
6,growth,6805.4428764943,3756,4141,0.9070272880946632,#006227
18,provides,4773.9121093152025,3656,4028,0.9076464746772592,#006227
8,Research,6553.090959044813,3342,3853,0.8673760705943421,#016e2d
9,Key,6189.153454186163,3461,3836,0.9022419186652764,#006428
30,offers,3801.4482159659506,3484,3811,0.9141957491472055,#005f26
