,Topic,Score,positive_documents,documents,positive_percentage,colors
0,JISOO,4195.325266138233,7583,13267,0.5715685535539308,#e3f399
1,show,2783.4563571329186,6865,9481,0.7240797384242168,#96d268
2,Sehun,2187.8793840314006,4692,7972,0.5885599598595083,#ddf191
6,bag,1402.5817701701892,1954,4657,0.4195834228043805,#fee695
4,Lady,1457.6840430270295,1235,4267,0.28943051324115304,#fca85e
7,Beauty,1359.255080833833,3077,3740,0.8227272727272728,#54b45f
10,Collection,1028.8545063156225,2768,3311,0.8360012080942314,#48ae5c
8,Paris,1337.6644457975424,1931,3125,0.61792,#cfeb85
11,wearing,1013.2068790108763,1263,3057,0.41315014720314036,#fee491
13,Addict,982.9744543650812,1280,2803,0.45665358544416695,#fff1a8
26,Korea,584.3677083333333,1941,2672,0.7264221556886228,#96d268
3,Chanel,1468.3637674226964,1102,2670,0.41273408239700377,#fee491
15,EWHA,760.2968750000003,1231,2289,0.5377894276976846,#f1f9ac
38,มาก,480.90714285714637,756,2187,0.345679012345679,#fdc574
23,Instagram,618.2412785883604,1599,2075,0.7706024096385542,#78c565
