,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Netflix,6012.968992727103,2730,5464,0.49963396778916547,#75c477
1,movie,4466.05511641558,3272,5256,0.6225266362252664,#42ab5d
6,Princess,2921.6758795164997,3250,4602,0.7062146892655368,#2e964d
23,channel,1609.9848999269389,1557,4000,0.38925,#9cd797
4,spotify,3273.6267857142857,1951,3063,0.6369572314724127,#3ea75a
3,show,3307.5487540203662,1833,3024,0.6061507936507936,#48ae60
2,film,3586.2270760467336,1803,2919,0.6176772867420349,#43ac5e
5,youtube,3008.6196798467754,1767,2818,0.627040454222853,#40aa5d
8,character,2543.0354199545955,1621,2749,0.5896689705347399,#50b264
7,series,2631.737818942795,1259,2654,0.474378296910324,#7dc87e
34,turned,1390.1181547618648,738,2398,0.30775646371976645,#b6e2af
26,película,1566.8604506089025,573,2264,0.25309187279151946,#c7e9c0
32,Pixar,1411.9533799533801,1072,2129,0.5035227806481917,#73c476
9,Marvel,2322.2380013516313,1063,2098,0.5066730219256435,#72c375
13,canva,2031.8875,1266,2009,0.6301642608262817,#3fa95c
