,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Ads,22659.834576683985,5465,16996,0.3215462461755707,#b1e0ab
2,fb.me,5679.1522618664885,4352,8094,0.5376822337533976,#65bd6f
1,users,8762.071854090218,2716,7893,0.344102369187888,#aadda4
8,account,4253.959565533709,978,5668,0.17254763585038815,#daf0d4
3,Marketing,5329.9765190783455,2232,5092,0.4383346425765907,#8ace88
4,Instagram,5097.240949675868,2011,4689,0.4288760929835786,#8ed08b
9,page,3900.349055720363,2122,4507,0.4708231639671622,#7fc97f
6,business,4527.563522498856,2177,4237,0.5138069388718433,#6ec173
11,video,3076.317823894638,1487,3857,0.38553279751101893,#9ed798
10,platform,3788.993952993135,1297,3856,0.33635892116182575,#acdea6
22,create,2408.1461808575127,1540,3450,0.4463768115942029,#87cd86
7,Google,4279.472083690249,992,3385,0.2930576070901034,#bae3b3
5,Meta,4909.807786235083,1050,3381,0.3105590062111801,#b5e1ae
15,content,2590.0044012386293,1424,3240,0.43950617283950616,#8ace88
35,FB,1811.481930916305,920,3127,0.29421170450911416,#bae3b3
