,Topic,Score,positive_documents,documents,positive_percentage,colors
0,delivery,20785.093023341924,7117,18619,0.382243944357914,#9fd899
1,package,13336.138776318243,2948,14521,0.20301632119000068,#d3eecd
2,shipping,12100.86134970403,5227,10364,0.5043419529139328,#72c375
6,driver,9274.76456158491,2404,9923,0.2422654439181699,#c9eac2
3,service,11785.924267914139,4462,8927,0.4998319704267951,#75c477
4,business,10879.595328509748,4228,8087,0.5228143934710029,#6bc072
15,order,6353.312702977632,2857,7748,0.36874032008260194,#a3da9d
5,report,10314.73099548606,2796,7489,0.37334757644545336,#a2d99c
14,UPS,6955.14754365868,2093,6512,0.32140663390663393,#b1e0ab
7,market,8252.364061341428,2830,5873,0.4818661672058573,#7ac77b
19,home,5832.514207043446,2315,5785,0.40017286084701814,#98d594
11,States,7558.31358099093,3059,5743,0.5326484415810552,#66bd6f
20,Federal,5685.72655955545,1486,5592,0.2657367668097282,#c2e7bb
21,expected,5653.802073632876,1990,5503,0.3616209340359804,#a5db9f
12,price,7449.090128005507,2344,5328,0.43993993993993996,#8ace88
