,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Leclerc,11058.890915672244,2945,10393,0.283363802559415,#bde5b6
1,Red Bull,9670.006861828255,1783,7036,0.25341102899374646,#c7e9c0
3,Mercedes,7507.243328904463,1924,6485,0.2966846569005397,#bae3b3
4,Sainz,7155.878781523067,1747,6429,0.2717374397262405,#c1e6ba
5,Carlos,6378.546546235879,1799,6077,0.29603422741484287,#bae3b3
2,Verstappen,8069.654866619071,1351,5614,0.24064837905236908,#caeac3
6,F1,6020.8475328011855,1969,5408,0.3640902366863905,#a4da9e
7,Charles Leclerc,5566.993051969241,2008,5268,0.381169324221716,#9fd899
8,team,4722.594535455076,2346,4543,0.5163988553819062,#6dc072
13,race,4076.004873652844,2276,4315,0.5274623406720742,#68be70
9,Hamilton,4510.146138264848,1003,3585,0.2797768479776848,#bee5b8
16,driver,3263.1617495481523,2218,3487,0.6360768568970462,#3fa85b
14,Carlos Sainz,3981.3671322997643,1235,3418,0.36132241076653016,#a5db9f
12,Formula,4268.678218419406,1098,3399,0.323036187113857,#b1e0ab
15,McLaren,3533.575644811203,1210,3328,0.3635817307692308,#a4da9e
