,Topic,Score,positive_documents,documents,positive_percentage,colors
0,report,24866.945053393316,9272,13665,0.6785217709476765,#349d53
3,business,18322.800922371054,10402,13056,0.7967218137254902,#16803c
1,Electric,21697.64443074474,9371,12793,0.7325099663878684,#278f48
12,provide,14146.789185006517,9913,12005,0.8257392753019576,#0d7836
13,companies,14126.128320222808,9117,11739,0.7766419626884743,#1c8540
2,Global,20151.93897365892,8972,11434,0.7846772782928109,#19833e
5,industry,15376.029457424323,8954,10822,0.8273886527444095,#0d7836
23,plans,12417.878027040153,7890,10623,0.7427280429257272,#248c46
4,shares,15405.202314517588,8034,10531,0.7628905137213939,#1f8742
15,sales,13988.718085072498,7776,10333,0.7525404045291784,#228a44
21,offers,12510.743512697036,8358,10198,0.8195724651892528,#107a37
42,future,10214.944711749728,8147,10090,0.8074331020812686,#137d39
6,Service,14755.515238742695,7742,9970,0.7765295887662989,#1c8540
16,million,13421.472975518342,7404,9963,0.7431496537187594,#248c46
8,Region,14525.511643931912,6331,9715,0.651672671127123,#3ba458
