,Topic,Score,positive_documents,documents,positive_percentage,colors
0,GE,17974.82828904032,7271,9399,0.7735929354186616,#1c8540
8,business,10705.375767542098,8020,8829,0.9083701438441499,#006227
6,service,10720.091707982087,7833,8624,0.9082792207792207,#006227
3,NYSE,13482.949452427227,7626,8623,0.8843789864316364,#00692a
4,Energy,12949.532877474325,7428,8511,0.8727529080014099,#006d2c
1,Power,13933.942294358401,6990,8384,0.8337309160305344,#0b7734
7,Market,10707.121056034439,6156,7257,0.8482844150475403,#077331
13,customers,8780.379699412244,6487,7185,0.9028531663187196,#006328
2,report,13682.733895742751,6317,7130,0.8859747545582047,#00692a
14,operating,8730.779027240193,6479,6834,0.9480538484050337,#005522
9,Global,10142.688095110581,6245,6766,0.9229973396393734,#005c25
21,solutions,7542.535602419839,6347,6732,0.9428104575163399,#005622
24,billion,7473.349364175552,5530,6405,0.8633879781420765,#026f2e
18,provides,7906.894471859665,5697,6336,0.8991477272727273,#006428
27,announced,7229.517447829979,5862,6169,0.9502350461987357,#005321
