,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Razor,7446.103058067887,5494,8132,0.67560255779636,#b3df72
13,win,3041.5835932620353,4950,5256,0.9417808219178082,#0e8245
1,team,5070.486687891138,3916,4649,0.8423316842331684,#45ad5b
2,game,4280.700346471137,2566,4577,0.5606292331221324,#e8f59f
5,Blades,3711.2732644977,3356,4510,0.7441241685144124,#89cc67
32,Shaving,2447.7115117428975,2721,3541,0.7684269980231573,#7ac665
3,State,4189.988267887277,2546,3345,0.761136023916293,#7fc866
9,Head,3543.6201082038756,1977,3345,0.5910313901345291,#dcf08f
16,show,2973.5184650240417,2120,3261,0.6501073290401718,#bfe47a
11,home,3372.626319770596,2513,3197,0.7860494213324992,#6ec064
7,business,3562.368185466973,2423,3020,0.802317880794702,#63bc62
4,brands,3735.4408580631525,2164,3004,0.7203728362183754,#98d368
15,provide,3015.8301617574184,2554,2896,0.8819060773480663,#279f53
21,lead,2817.384992671033,2218,2738,0.8100803506208911,#5db961
19,Shave,2853.3301413728727,1882,2713,0.6936970143752303,#a9da6c
