,Topic,Score,positive_documents,documents,positive_percentage,colors
7,market,29683.006192018533,21514,28060,0.7667141838916607,#1e8741
0,Group,57628.32918478563,20800,27214,0.7643124862203278,#1f8742
2,report,43197.59010197065,20431,26882,0.7600252957369243,#208843
20,high,17008.4105532278,18877,23837,0.7919201241767001,#17813d
24,low,15306.59688201278,18042,22571,0.7993442913473041,#157f3b
5,additional,32045.26573413633,18807,22366,0.8408745417151032,#097532
10,business,24122.436806040336,17710,22290,0.7945266935845671,#16803c
1,quarter,44233.763930592846,18111,22147,0.8177631281889195,#107a37
4,company’s,33344.11503039422,18417,21980,0.8378980891719745,#0a7633
13,firm,23271.982165975158,17245,21418,0.8051638808478849,#137d39
11,hold,23569.87574654006,17388,21137,0.8226332970620239,#0e7936
14,billion,21941.133766727617,17323,20901,0.8288120185637051,#0c7735
8,Bank,27569.9500746389,13210,20644,0.6398953691145127,#3ea75a
6,ratio,30566.432489110695,17194,20029,0.8584552399021419,#05712f
9,Investment,25007.35706128583,14529,19279,0.7536179262409876,#228a44
