,Topic,Score,positive_documents,documents,positive_percentage,colors
1,search,9354.542771868075,8949,14020,0.63830242510699,#c5e67e
0,Services,11028.34354521519,4733,7635,0.6199083169613622,#cfeb85
4,app,8966.844792509419,3089,7176,0.4304626532887402,#feea9b
3,business,9111.363553027253,4527,6851,0.6607794482557291,#b9e176
2,users,9305.596566081249,4084,6840,0.5970760233918129,#daf08d
6,provide,7628.477513448282,4528,6123,0.7395067777233383,#8ccd67
8,Product,7554.692646172937,4227,6047,0.6990243095749958,#a7d96b
5,report,8815.985482213668,3570,6008,0.594207723035952,#daf08d
7,technology,7625.536888280945,4234,5937,0.7131547919824828,#9dd569
12,information,7206.95858820249,4087,5923,0.6900219483369914,#abdb6d
14,offer,6808.168380134228,4302,5858,0.7343803345851827,#8ecf67
18,content,6382.270110986516,3635,5628,0.6458777540867093,#c1e57b
20,companies,6293.7322399608365,3672,5588,0.6571224051539012,#bbe278
24,support,5638.742883645599,3603,5576,0.6461621233859397,#c1e57b
13,platform,6915.684381841409,3313,5333,0.6212263266454153,#cdea83
