,Topic,Score,positive_documents,documents,positive_percentage,colors
0,House,6702.827625877452,4464,6751,0.6612353725374018,#b9e176
4,wearing,2512.295460793869,2909,4421,0.6579959285229586,#bbe278
5,Adidas,2162.6404641516,1793,4278,0.41912108461898084,#fee695
1,brand,3014.9760890313755,2331,3542,0.658102766798419,#bbe278
3,bag,2806.9497811656533,1831,3268,0.5602815177478581,#e8f59f
2,fashion,2812.0579344070848,2418,3128,0.7730179028132992,#78c565
7,show,1933.740596053118,1808,2459,0.7352582350549004,#8ecf67
9,collection,1765.4404975827617,2017,2432,0.829358552631579,#4eb15d
6,Styles,2013.9852848653068,1814,2392,0.7583612040133779,#7fc866
10,Film,1568.6169119772626,1617,2181,0.7414030261348006,#8ccd67
19,Lady Gaga,1274.716666666667,1065,1841,0.5784899511135253,#e0f295
22,mane,1135.340625,627,1838,0.3411316648531012,#fdc372
21,share,1176.4050299282696,1723,1799,0.9577543079488605,#0a7b41
16,items,1331.9296591280472,1535,1739,0.882691201840138,#279f53
38,event,869.7258984071485,1331,1700,0.7829411764705883,#70c164
