,Topic,Score,positive_documents,documents,positive_percentage,colors
0,report,23463.72469688643,10520,12822,0.8204648260801747,#0e7936
19,high,7901.518583426719,8772,10696,0.8201196709050113,#107a37
3,Retail,15735.45457125793,8574,10286,0.8335601788839199,#0b7734
33,low,6718.197986709543,7920,9574,0.8272404428660957,#0d7836
8,additional,12432.565370739954,7934,9359,0.84774014317769,#077331
10,business,10152.332251193027,7744,9144,0.8468941382327209,#087432
4,Group,15278.77530386384,7536,8979,0.8392916805880387,#0a7633
1,quarter,17792.680722213194,7377,8930,0.8260918253079508,#0d7836
7,company's,12537.946231276794,7365,8851,0.8321093661733138,#0b7734
5,Signaling,13787.374999999998,7310,8850,0.8259887005649718,#0d7836
9,hold,10526.959849188805,7231,8760,0.8254566210045662,#0d7836
6,ratio,12882.68368557617,7463,8669,0.8608836082593148,#03702e
46,copy,5619.241666666669,7129,8591,0.8298219066464905,#0c7735
34,Stuck,6648.03125,7044,8511,0.8276348255199154,#0d7836
11,StockNews.com,9551.40625,6925,8486,0.816049964647655,#117b38
