,Topic,Score,positive_documents,documents,positive_percentage,colors
4,HPQ,20944.10392741247,7952,20329,0.3911653303162969,#9bd696
2,business,22211.157171637762,10897,14261,0.7641119136105462,#1f8742
1,report,24404.930344819022,9099,13325,0.6828517823639775,#339c52
0,Inc.,30133.24367033701,8796,12677,0.6938550130156977,#309950
7,Services,18272.32412030865,9841,12393,0.7940773017025741,#16803c
8,Product,18136.657826042643,10110,12204,0.828416912487709,#0c7735
6,Systems,18428.08684009773,9377,11994,0.7818075704518926,#19833e
3,shares,21009.117696520643,8353,11986,0.6968963791089604,#2f984f
9,Technology,18031.715589700398,9831,11972,0.8211660541262947,#0e7936
14,provides,14338.200163447094,10283,11701,0.8788137766002906,#006c2c
5,Global,19805.27517387383,8745,11531,0.7583904258086896,#208843
11,solutions,15549.570299878766,9770,11086,0.8812917192855855,#006b2b
27,offers,11065.418200579623,9121,10413,0.8759243253625276,#006c2c
13,Technologies,14533.905897287563,7597,9742,0.7798193389447752,#1a843f
19,sales,12700.129402450679,6817,9332,0.7304972138876983,#278f48
