,Topic,Score,positive_documents,documents,positive_percentage,colors
3,Household,1253.628770686547,574,914,0.6280087527352297,#40aa5d
4,Page,1215.50625,24,871,0.027554535017221583,#f3faf0
20,Disponibilização,593.4375,0,756,0.0,#f7fcf5
0,Processo,1339.9980424351556,0,704,0.0,#f7fcf5
2,Cível,1259.7771428355118,7,693,0.010101010101010102,#f6fcf4
5,Silva,1100.2193323127508,7,637,0.01098901098901099,#f6fcf4
7,art,933.4173618146156,6,632,0.00949367088607595,#f6fcf4
1,S.A,1265.656129039304,11,598,0.01839464882943144,#f5fbf2
11,autos,761.1023422154295,10,586,0.017064846416382253,#f5fbf2
18,presente,595.8009239126891,130,562,0.2313167259786477,#cbebc5
10,prazo,789.9113994683785,0,549,0.0,#f7fcf5
8,Advogado,861.4326475652246,7,547,0.012797074954296161,#f5fbf3
9,Santos,821.6811922018783,2,540,0.003703703703703704,#f7fcf5
6,Reu,1089.441091710577,0,531,0.0,#f7fcf5
17,Intimação,598.3286939622857,0,529,0.0,#f7fcf5
