,Topic,Score,positive_documents,documents,positive_percentage,colors
0,beer,4494.779058305465,2318,4293,0.5399487537852318,#63bc6e
1,cerveja,4195.247494948568,680,3748,0.1814300960512273,#d8f0d2
2,drink,3609.8315898593537,1851,3745,0.49425901201602135,#76c578
16,Helion,1998.0319279748778,1040,3296,0.3155339805825243,#b4e1ad
5,Bar,2942.81417415319,1096,2916,0.37585733882030176,#a0d99b
6,beber,2900.338846223222,166,2884,0.057558945908460474,#eff9ec
3,brands,3288.4286203291645,1925,2699,0.7132271211559837,#2c944c
8,tomar,2605.0447916666662,392,2658,0.1474793077501881,#e0f3db
7,kkkk,2797.9468749999996,120,2493,0.048134777376654635,#f0f9ed
14,Coca-Cola,2185.3243717847163,365,2424,0.15057755775577558,#dff3da
4,Market,3264.1054648682757,1437,2254,0.6375332741792369,#3ea75a
11,business,2334.7018767995314,1396,1994,0.7001003009027081,#2f974e
17,gelada,1988.5468749999995,437,1953,0.22375832053251407,#cdecc7
48,continue,1341.6120006411447,970,1887,0.5140434552199258,#6ec173
31,agua,1467.1716779527962,162,1880,0.08617021276595745,#ebf7e7
