,Topic,Score,positive_documents,documents,positive_percentage,colors
0,drink,6148.017204874457,3349,9381,0.35699818782645776,#a7dba0
1,bottle,4116.799560031262,2011,4385,0.4586088939566705,#83cb82
3,pop,4055.4466144966145,283,3375,0.08385185185185186,#ebf7e7
2,awaiting a champagne explosion lmaoooooooo,4060.375,0,2953,0.0,#f7fcf5
6,Brand,2172.8050018950175,1782,2450,0.7273469387755102,#289049
27,announced,1547.336860076198,1939,2237,0.8667858739383102,#026f2e
30,home,1523.4592334650072,1790,2205,0.8117913832199547,#127c39
4,team,2543.1857541524273,1773,2188,0.8103290676416819,#127c39
7,shot,2106.949951489904,1002,2039,0.491417361451692,#78c679
20,show,1664.5641456980818,1525,2010,0.7587064676616916,#208843
12,Black,1802.6909511681604,1136,1974,0.5754812563323202,#55b567
24,available,1570.4061304609363,1770,1949,0.9081580297588507,#006227
47,Brisa,1358.9422799422796,601,1860,0.3231182795698925,#b1e0ab
34,Music,1474.1733756699548,1533,1810,0.8469613259668508,#087432
10,provide,1855.674545807588,1490,1734,0.8592848904267589,#05712f
