,Topic,Score,positive_documents,documents,positive_percentage,colors
0,International,10772.300152291213,2558,5114,0.5001955416503715,#73c476
2,report,4373.111212891225,1952,2632,0.7416413373860182,#258d47
6,Brands,3595.1243071754616,2124,2548,0.8335949764521193,#0b7734
7,LVMH,3388.6801891474993,1319,2501,0.5273890443822471,#68be70
1,Group,4602.408584226252,1418,2484,0.57085346215781,#56b567
10,Paris,3124.921488167553,888,2297,0.38659120592076623,#9ed798
5,Global,3612.4141246428517,1570,2170,0.7235023041474654,#29914a
8,China,3321.5304574855245,1326,2170,0.6110599078341014,#46ae60
4,Luxury,3617.4075001803553,1640,2127,0.77103902209685,#1d8640
3,Product,3684.96886570792,1751,2022,0.8659742828882295,#026f2e
9,Kering,3279.1716408591406,957,2022,0.4732937685459941,#7dc87e
15,share,2804.86017990668,1547,2005,0.771571072319202,#1d8640
11,Europe,3075.2793420046282,1366,1941,0.7037609479649665,#2e964d
16,increase,2420.4991853472998,1522,1883,0.8082846521508231,#137d39
21,growing,2269.338747618798,1639,1814,0.9035281146637266,#006328
