,Topic,Score,positive_documents,documents,positive_percentage,colors
3,Business,59082.1648822502,30467,35190,0.8657857345836886,#33a456
0,Global,66499.13531560391,29930,34507,0.8673602457472397,#30a356
2,Services,64957.28923914551,29322,34198,0.8574185624890345,#39a758
1,report,65519.63599580744,28071,32531,0.862900003073991,#36a657
9,Technology,47929.938227442304,28429,32491,0.8749807639038503,#2da155
6,solutions,49932.88718745583,28943,31969,0.9053458037473803,#18954f
17,provides,40692.9541916661,29120,31590,0.9218106995884774,#148e4b
4,growth,53978.60918296388,26887,29860,0.9004353650368386,#199750
7,Systems,49736.29642675993,25201,29798,0.8457279012014229,#42ac5a
11,Industry,46261.73848174747,27101,29779,0.9100708553007153,#17934e
29,offers,31998.070963069724,27546,29746,0.9260404760303906,#128a49
8,Technologies,48606.074087277266,24678,29175,0.8458611825192802,#42ac5a
10,Key,47769.51592451074,25897,28700,0.9023344947735191,#199750
23,companies,36682.97855022462,25361,28587,0.887151502431175,#219c52
26,information,34290.10727941921,25948,28561,0.9085116067364588,#17934e
