,Topic,Score,positive_documents,documents,positive_percentage,colors
0,本田,14219.274981526545,11493,29928,0.3840216519647153,#9ed798
5,本田圭佑,2424.019583333255,1160,4908,0.23634881825590873,#cbeac4
48,仁美,1100.08174603174,3567,4826,0.7391214256112723,#258d47
15,解説,1558.8202634865072,1474,4469,0.3298277019467442,#afdfa8
1,Motor,5518.578567727177,1034,3729,0.27728613569321536,#c0e6b9
2,Civic,2780.317970605501,796,2524,0.3153724247226624,#b4e1ad
3,vehicles,2658.0079263085922,1189,1888,0.6297669491525424,#3fa95c
4,Toyota,2582.752715961407,762,1862,0.4092373791621912,#95d391
6,Auto,2217.132066030845,549,1817,0.30214639515685193,#b7e2b1
8,Model,1945.4841032526012,955,1731,0.5517042172154824,#5eb96b
7,Team,2014.025649751646,1121,1687,0.6644931831653823,#37a055
9,moto,1903.4435991094829,337,1672,0.201555023923445,#d3eecd
11,Power,1665.5326229464588,976,1464,0.6666666666666666,#37a055
17,sales,1516.4455998289086,883,1436,0.6149025069637883,#45ad5f
28,drive,1350.97892134307,856,1423,0.6015460295151089,#4bb062
