,Topic,Score,positive_documents,documents,positive_percentage,colors
0,华为,23428.899885257015,1152,28933,0.039816126913904536,#f1faee
4,都,10371.916089595292,519,9735,0.05331278890600925,#f0f9ec
1,将,11773.27347715677,172,9194,0.018707852947574505,#f5fbf2
8,就,8947.459151110817,329,8594,0.03828252269024901,#f2faef
2,China,11703.98959897584,3873,8171,0.4739933912617795,#7dc87e
6,中国,9746.708329275947,179,8027,0.02229973838295752,#f4fbf2
19,手机,7542.325674036199,215,7837,0.027433967079239504,#f3faf0
12,会,8618.151561376384,226,7723,0.02926323967370193,#f3faf0
10,从,8870.69209524118,156,7509,0.020775069916100678,#f4fbf2
7,据,9151.144398349548,65,7354,0.008838727223279847,#f6fcf4
14,于,8460.407110150947,141,7349,0.019186283848142603,#f5fbf2
13,公司,8615.240094507808,130,6797,0.01912608503751655,#f5fbf2
3,Global,10746.096489157751,4556,6661,0.6839813841765501,#329b51
26,并,6956.618330793681,102,6543,0.015589179275561669,#f5fbf3
17,化,7935.986244675869,194,6368,0.030464824120603015,#f3faf0
