,Topic,Score,positive_documents,documents,positive_percentage,colors
0,한,34449.48250526095,1125,25321,0.0444295249002804,#f1faee
7,자동차,16761.435437032673,4885,24085,0.20282333402532696,#d3eecd
2,등,28510.149907381117,305,20138,0.01514549607706823,#f5fbf3
1,했다,29414.48060557395,47,19404,0.002422180993609565,#f7fcf5
8,현대자동차,14875.772948122702,1595,19390,0.08225889633831872,#ebf7e7
5,것,21935.515317562134,80,17439,0.004587419003383221,#f6fcf4
4,있다,22243.10206645689,39,17236,0.0022627059642608494,#f7fcf5
12,현대,13411.793037663332,1673,15599,0.1072504647733829,#e8f6e3
3,현대차,22549.052018131322,55,14990,0.003669112741827885,#f7fcf5
9,된,14670.015229929611,408,14294,0.02854344480201483,#f3faf0
13,있는,13363.782352588541,81,13059,0.006202618883528601,#f6fcf4
11,한다,13879.284802030505,41,12703,0.0032275840352672595,#f7fcf5
22,기자,10202.37376457897,32,12672,0.0025252525252525255,#f7fcf5
14,및,12258.306285745712,66,12196,0.005411610364053788,#f6fcf4
16,며,11423.379851734746,31,12111,0.002559656510610189,#f7fcf5
