,Topic,Score,positive_documents,documents,positive_percentage,colors
38,Blue,10892.66210049352,14583,18301,0.7968417026392001,#69be63
0,Business,29255.85198448131,13964,17748,0.7867928780707686,#6ec064
1,Services,24256.764218316635,12291,14880,0.8260080645161291,#51b35e
5,Technology,19144.79447776717,11935,14290,0.8351994401679497,#4bb05c
3,Global,23213.187360675773,11460,13775,0.8319419237749546,#4eb15d
13,provides,16124.759928621872,12084,13594,0.8889215830513462,#219c52
2,report,23550.011421698953,10915,13486,0.8093578525878689,#5db961
14,companies,15870.541525319722,10788,13022,0.8284441714022424,#4eb15d
40,Microsoft,10659.98442166937,9873,12601,0.7835092452979923,#70c164
9,Systems,17136.066582015334,9396,12203,0.7699745964107186,#78c565
10,industry,16970.96839288359,10677,12179,0.8766729616553083,#2aa054
7,solutions,17554.91949855282,10890,12165,0.8951911220715166,#1b9950
18,information,14328.524756244524,10272,12050,0.852448132780083,#3ca959
4,growth,19782.614919533513,10664,11980,0.8901502504173623,#219c52
26,offers,12626.03209142365,10597,11849,0.8943370748586379,#1e9a51
