,Topic,Score,positive_documents,documents,positive_percentage,colors
0,furniture,4540.913116943283,2759,6012,0.458915502328676,#83cb82
1,home,3492.2340330662796,2627,3462,0.7588099364529174,#208843
3,shopping,2316.686708685513,2109,3144,0.6708015267175572,#369f54
33,bag,1106.7978239122017,497,2894,0.17173462335867312,#dbf1d5
5,build,1924.8236795980506,1315,2178,0.6037649219467401,#4aaf61
4,products,1956.8963281248334,1625,2176,0.7467830882352942,#238b45
2,offer,2439.779152667239,967,2007,0.48181365221723965,#7ac77b
22,together,1310.1787202380954,1138,1914,0.5945663531870429,#4db163
12,Swedish,1515.9787046287042,808,1890,0.4275132275132275,#8ed08b
46,Russia,1008.2173698129862,416,1869,0.2225789192081327,#ceecc8
9,room,1591.6992820689784,1364,1763,0.7736812251843449,#1c8540
26,idea,1245.340436646685,1183,1712,0.6910046728971962,#319a50
6,design,1905.9903266286199,1205,1629,0.7397176181706568,#258d47
32,order,1113.936177763687,622,1621,0.3837137569401604,#9ed798
37,cabinet,1088.6443631751858,577,1573,0.3668150031786395,#a4da9e
