,Topic,Score,positive_documents,documents,positive_percentage,colors
2,Story,3901.8464151975404,5985,11932,0.5015923566878981,#73c476
4,Update,2720.142734111111,4022,9360,0.42970085470085473,#8dd08a
1,Twitter,4959.7466515820115,2618,6512,0.40202702702702703,#98d594
0,Facebook,5214.839401345589,2320,4783,0.48505122308174786,#79c67a
5,Stories,2384.8588789682535,1964,4301,0.4566379911648454,#84cc83
3,video,2789.330734425576,1660,3568,0.46524663677130046,#80ca80
8,account,1986.65914241998,1472,2783,0.5289256198347108,#68be70
6,TikTok,2081.60607073976,1161,2602,0.44619523443504994,#87cd86
7,YouTube,2076.6300131389476,1184,2429,0.4874433923425278,#79c67a
37,Official,768.1641369047619,1218,2027,0.6008880118401578,#4bb062
23,Insta,895.9124999999999,1010,2024,0.4990118577075099,#75c477
9,show,1464.2012620412952,1335,1975,0.6759493670886076,#349d53
12,share,1255.0118551940443,1357,1683,0.8062982768865122,#137d39
10,WhatsApp,1393.749145930291,570,1610,0.35403726708074534,#a8dca2
11,page,1263.2544146825396,1049,1499,0.6997998665777185,#2f974e
