,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Core,11657.138904346955,8363,14386,0.5813290699290977,#e0f295
35,SSD,3711.2771174198347,4186,7068,0.5922467458970005,#dcf08f
34,price,3725.363464741525,4634,6367,0.7278152976283965,#93d168
1,report,6848.891532696895,2914,5716,0.5097970608817355,#fbfdba
6,Processor,5355.4902715895205,4048,5672,0.7136812411847673,#9dd569
25,PC,3955.2704138793033,3442,5649,0.6093113825455833,#d5ed88
13,Windows,4664.70800514405,2614,5392,0.48479228486646886,#fffbb8
9,Laptop,5269.53353674501,2077,5157,0.40275353887919335,#fee18d
10,CPU,4983.43093674922,2747,4831,0.568619333471331,#e5f49b
2,Technology,6024.408052569495,3538,4768,0.7420302013422819,#8ccd67
7,chip,5349.732832746949,1879,4742,0.3962463095740194,#fede89
5,AMD,5464.4812020853,1580,4654,0.33949290932531156,#fdc171
14,provides,4615.905010988612,3412,4342,0.7858129894058038,#6ec064
22,support,4028.151653069397,2989,4324,0.6912580943570767,#abdb6d
8,Systems,5282.5709071208885,2953,4305,0.6859465737514518,#addc6f
