,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Bank,39680.702941326796,9812,27710,0.3540959942259112,#a8dca2
1,market,24070.231179533566,9838,18212,0.5401932791566001,#63bc6e
11,JP Morgan,16200.081577890605,5893,17961,0.3280997717276321,#b0dfaa
10,business,16822.26711882996,8752,13789,0.634708825875698,#3fa85b
4,report,19524.901349801352,7091,13532,0.5240171445462607,#6abf71
3,Investment,19770.51362511248,7901,13137,0.6014310725431986,#4bb062
12,investors,15807.149544714714,7076,12183,0.5808093244685217,#53b466
2,price,19926.13760930942,6131,12100,0.5066942148760331,#72c375
14,Asset,13902.434826844426,6997,11921,0.5869474037412968,#50b264
8,Analyst,16901.54497150609,5501,11805,0.46598898771706904,#80ca80
13,Global,14624.232961736421,5943,11615,0.511665949203616,#70c274
6,Group,17655.762308108093,6468,11569,0.5590803008038724,#5bb86a
7,stock,17528.38345609236,5859,10740,0.5455307262569833,#62bb6d
24,JPM,10396.359012324107,4363,10704,0.4076046337817638,#95d391
5,shares,17844.150310808527,6302,10512,0.5995053272450532,#4bb062
