,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Whiskey,20605.233205605822,8564,16013,0.5348154624367701,#66bd6f
2,drink,8290.41330011041,5264,8862,0.593996840442338,#4db163
1,bottle,11037.638637598977,4991,8667,0.5758624668281989,#55b567
7,bar,5954.6604950229,3399,7981,0.42588648039092847,#8ed08b
3,Old,7845.814067820834,3476,5560,0.625179856115108,#40aa5d
4,brand,6897.59683577713,3650,5089,0.7172332481823541,#2b934b
12,alcohol,4841.177596515173,2075,4187,0.49558156197754955,#76c578
8,Honey,5749.653087938365,2738,4060,0.674384236453202,#359e53
14,cocktail,4265.574983311042,2762,3904,0.7074795081967213,#2d954d
5,Tennessee Whiskey,6342.1556177502935,2470,3722,0.6636217087587318,#38a156
30,home,3207.2263230565104,2744,3566,0.7694896242288278,#1e8741
6,Distillery,6181.509200326705,2585,3540,0.730225988700565,#289049
9,Barrel,5546.801138504923,2724,3515,0.7749644381223328,#1c8540
16,wine,3831.0318092900616,2302,3495,0.6586552217453505,#39a257
18,adding,3716.6176181986452,1853,3410,0.5434017595307918,#62bb6d
