,Topic,Score,positive_documents,documents,positive_percentage,colors
0,report,44197.63269637636,18725,24022,0.779493797352427,#1a843f
9,companies,26000.379256250922,15632,20975,0.7452681764004767,#248c46
1,Research,36952.98609970027,17729,20860,0.8499041227229147,#077331
3,Global,35783.42881128805,16555,20642,0.8020056196105029,#147e3a
2,Product,36231.12062258955,17200,20616,0.8343034536282499,#0b7734
5,shares,29852.4175506999,15754,18976,0.8302065767284992,#0c7735
12,Business,24726.930502306677,15779,18662,0.845514950166113,#087432
4,growth,30056.917700486843,15677,18432,0.8505316840277778,#077331
14,increase,23899.30488368102,14408,17713,0.8134138768136397,#117b38
18,provides,20335.162810243437,15004,17626,0.8512424826960172,#077331
11,Health,25707.85989673031,13230,17605,0.7514910536779325,#228a44
10,Key,25855.3189921304,13776,16136,0.8537431829449678,#067230
26,COVID-19,18333.88568996643,10205,16043,0.6361029732593655,#3fa85b
13,Region,24515.890201598657,12488,15993,0.7808416182079659,#1a843f
32,information,16688.367677709724,13365,15946,0.8381412266399096,#0a7633
