,Topic,Score,positive_documents,documents,positive_percentage,colors
0,キー,6158.156931956944,7015,7355,0.9537729435757988,#005221
4,Chicken,5283.88046693839,2669,6996,0.3815037164093768,#9fd899
7,届く,3431.5249999999432,4891,6621,0.7387101646276998,#258d47
3,抽選,5550.1875,5179,5202,0.9955786236063052,#00451c
28,意見,1136.4375,4989,5001,0.9976004799040192,#00441b
2,抽選 で 100名様 に デジタル KFCカード,5789.7125,4210,4213,0.9992879183479706,#00441b
5,あつまり,5263.375,4210,4213,0.9992879183479706,#00441b
1,000円 分 当たる,5789.7125,4210,4213,0.9992879183479706,#00441b
42,食べ,898.9208333333202,3343,3396,0.9843934040047114,#00481d
6,春といえ,4551.525,3309,3312,0.9990942028985508,#00441b
9,火,2785.729166666667,1394,3195,0.4363067292644757,#8bcf89
16,eat,2217.912336249718,1026,2902,0.35354927636113026,#a8dca2
17,food,2076.5687676407465,1331,2647,0.5028333962976955,#73c476
19,order,1833.7168553224092,1484,2495,0.5947895791583167,#4db163
10,開催,2672.929166666667,656,2394,0.27401837928153716,#c0e6b9
