,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Kellogg,38425.30848192283,24006,47060,0.5101147471313218,#70c274
1,Foods,17350.073520715607,8532,11611,0.7348204289036259,#268e47
8,cereal,10539.872233247379,6287,10158,0.6189210474502855,#43ac5e
3,Business,12703.513484248608,8259,9978,0.827720986169573,#0d7836
4,Product,12650.769923206131,7370,9154,0.8051125191173257,#137d39
2,report,13712.995049746583,6977,8905,0.7834924199887704,#19833e
7,brands,10760.324861511357,6844,8811,0.776756327318125,#1c8540
11,provide,9064.536873489536,7661,8658,0.8848463848463849,#00692a
31,high,6583.093958033938,5981,8509,0.7029028087906922,#2f974e
14,companies,8244.256801331443,5955,8002,0.7441889527618095,#248c46
5,shares,11700.973559853188,6905,7916,0.8722839818089945,#006d2c
10,Group,9891.536431576567,6177,7599,0.8128701144887486,#117b38
6,Global,11130.943419003086,6242,7456,0.8371781115879828,#0a7633
15,States,7851.065936432634,5556,7156,0.776411403018446,#1c8540
17,Sales,7736.478098339833,6224,7152,0.8702460850111857,#016e2d
