,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Motor,21929.467729621392,5152,10641,0.48416502208439055,#fffab6
1,Hyundai,19450.65656896086,2767,7722,0.35832685832685834,#feca79
8,자동차,5754.72310138362,800,6311,0.1267627951196324,#de402e
43,기아자동차,3242.207989197976,122,4595,0.026550598476605007,#b10b26
4,Global,6695.695310960249,3519,4539,0.7752808988764045,#75c465
6,Group,6346.4186367896555,2356,4387,0.5370412582630499,#f1f9ac
5,models,6370.819002840636,2520,4295,0.5867287543655413,#ddf191
3,Corporation,7229.621793333031,2594,4117,0.6300704396405149,#c9e881
16,provide,4964.8282879798635,2999,4097,0.7319990236758603,#91d068
7,한,5963.747356109257,82,3860,0.021243523316062177,#af0926
21,등,4601.390051006909,510,3818,0.13357778941854373,#e14430
32,released,3552.042857142844,2030,3748,0.5416221985058698,#eff8aa
9,Report,5674.5618709300925,1866,3663,0.5094185094185094,#fbfdba
15,system,5003.689542478992,2177,3608,0.6033813747228381,#d7ee8a
17,United,4953.809496067982,2194,3561,0.6161190676776186,#d1ec86
