,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Range,20340.788025697828,6297,11274,0.5585417775412453,#5db96b
1,Defender,14820.892213388277,5323,10181,0.5228366565170416,#6bc072
16,Landrover,4175.268204365084,3196,8219,0.38885509186032363,#9cd797
4,vehicle,8775.663289035045,5221,7463,0.6995846174460673,#2f974e
3,Sport,9769.680132429916,3823,6475,0.5904247104247105,#4eb264
2,Jaguar,9885.586860028321,2639,5950,0.4435294117647059,#88ce87
6,Motor,5526.066329020133,1969,4692,0.41965046888320545,#91d28e
12,drive,4465.451626827423,3391,4672,0.7258133561643836,#29914a
7,model,5473.895982895609,2885,4550,0.634065934065934,#3fa85b
5,Discovery,5651.367579177455,2258,4258,0.530295913574448,#68be70
11,service,4478.038799128373,2988,4244,0.704052780395853,#2e964d
9,Series,4928.092393949676,2289,4173,0.5485262401150252,#60ba6c
8,Auto,5148.299668945698,1860,4154,0.44776119402985076,#87cd86
10,SUV,4877.22704938433,2055,3989,0.5151667084482326,#6ec173
21,available,3675.8282366938556,3328,3938,0.8450990350431691,#087432
