,Topic,Score,positive_documents,documents,positive_percentage,colors
0,build,6258.17991415596,5150,7399,0.696040005406136,#2f984f
1,ゴ,5153.340338082563,2858,6869,0.41607220847284904,#92d28f
2,game,3677.5243971905575,2500,3665,0.6821282401091405,#339c52
3,bricks,2923.4276504745244,2182,3590,0.6077994428969359,#48ae60
5,pieces,2048.7049219376922,1460,2314,0.6309420916162489,#3fa95c
6,fun,1978.0857525357594,2136,2292,0.9319371727748691,#005a24
4,kids,2160.925197338785,1635,2190,0.7465753424657534,#238b45
9,video,1652.927069858951,1432,2030,0.7054187192118226,#2e964d
12,show,1578.5548378299047,1434,1967,0.7290289781392985,#289049
10,Ideas,1647.404774558732,1225,1929,0.6350440642820114,#3fa85b
47,release,972.3352033309748,771,1836,0.4199346405228758,#91d28e
11,design,1610.0359949143124,1444,1824,0.7916666666666666,#17813d
13,create,1572.1950369991462,1482,1802,0.8224195338512763,#0e7936
7,toys,1922.8421089097978,1249,1690,0.7390532544378698,#258d47
8,ゴ互換,1808.468749999966,80,1685,0.04747774480712166,#f0f9ed
