,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Twitter,39669.63397129441,21003,30129,0.6971024594244748,#2f984f
1,Facebook,28618.62519378554,14702,22226,0.6614775488167012,#38a156
4,business,23345.281778365093,16058,19181,0.8371826286429279,#0a7633
3,information,23811.782587928636,16027,19003,0.8433931484502447,#097532
2,Market,27426.21770893331,15196,18481,0.8222498782533413,#0e7936
7,provide,19114.60383923742,16161,17491,0.9239608941741467,#005c25
6,services,20166.715732006844,14223,17032,0.835075152653828,#0b7734
8,visit,18498.28704926599,14789,16046,0.9216627196809174,#005e26
11,leading,16184.123089870072,13237,15837,0.8358274925806656,#0b7734
5,Global,20534.562914144622,13135,15804,0.8311187041255378,#0c7735
22,Contact,13158.91688257719,12070,14696,0.8213119216113228,#0e7936
14,Media,15084.88301128595,12103,14614,0.8281784590119063,#0c7735
9,products,17497.635242529057,12666,13854,0.9142485924642703,#005f26
35,announced,11441.295062524752,12428,13625,0.9121467889908257,#006027
25,experience,12477.36459123532,11080,13239,0.8369212176146235,#0a7633
