,Topic,Score,positive_documents,documents,positive_percentage,colors
0,fashion,4074.342902434152,5615,6393,0.8783043954325043,#2aa054
1,Paris,4017.12668294268,5564,6330,0.8789889415481833,#279f53
2,bag,3680.9425316564375,2257,6114,0.36915276414785736,#fed07e
9,wearing,1709.500106664704,2197,5119,0.42918538777104903,#fee999
17,Virgil Abloh,1325.0853002899905,1902,4627,0.4110654851955911,#fee491
5,happening,2029.3714341214338,3612,3795,0.9517786561264822,#0c7f43
6,fashion show live from Paris,1854.9130521229304,3594,3604,0.9972253052164262,#006837
22,Instagram,1089.3821824009328,2015,3499,0.5758788225207202,#e2f397
37,Win,818.1812003968254,1214,3473,0.34955369997120644,#fdc776
18,LV,1306.1424017530715,1598,3333,0.47944794479447944,#fff8b4
3,brand,2434.0038982279384,1967,3140,0.6264331210191083,#cbe982
13,Collection,1439.9910907395756,2178,2802,0.7773019271948608,#75c465
4,Gucci,2089.036742771117,792,2645,0.2994328922495274,#fdad60
8,Dior,1811.133972294904,1086,2595,0.4184971098265896,#fee695
14,Nike,1409.0753350171499,723,2311,0.3128515794028559,#fdb567
