,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Visa,29843.20989948922,6100,30392,0.20071071334561727,#d3eecd
1,payment,12607.845431831976,5574,10701,0.5208858985141576,#6bc072
2,Bank,12026.511446200155,4698,9656,0.4865368682684341,#79c67a
3,services,9460.427580668964,4845,8178,0.5924431401320617,#4eb264
15,purchase,5631.404172041455,3375,8048,0.41935884691848907,#91d28e
42,CEO,4092.717228729297,5557,7401,0.7508444804756114,#228a44
5,Pay,8343.643939895168,3051,6808,0.44814923619271446,#87cd86
4,business,8364.262489414064,4452,6477,0.6873552570634553,#329b51
6,market,7818.100748311957,4429,6289,0.7042455080298935,#2e964d
11,partners,6193.455347943718,4081,6257,0.6522295029566885,#3ba458
7,digital,7602.406354970271,3788,6103,0.6206783549074226,#43ac5e
26,system,4679.840551895791,1862,5941,0.31341524995791953,#b4e1ad
9,transactions,6430.313422693013,3988,5883,0.6778854326024137,#349d53
38,announced,4202.994464682523,3753,5869,0.6394615777815642,#3ea75a
8,financial,7377.877508172695,3890,5820,0.6683848797250859,#369f54
