,Topic,Score,positive_documents,documents,positive_percentage,colors
0,McDo,5205.294196428576,2465,11073,0.2226135645263253,#f67a49
1,McD,5036.017568163938,2418,9710,0.2490216271884655,#f88c51
5,meal,1582.6093556445437,4717,6069,0.7772285384742132,#75c465
2,Mc Donalds,2907.4474226141483,944,5554,0.16996759092545913,#eb5a3a
15,eat,1051.8216144966145,3578,4577,0.7817347607603233,#70c164
3,Maccas,2555.0035062160055,1447,4118,0.35138416707139386,#fdc776
9,order,1367.3775291905793,786,2395,0.32818371607515656,#fdbd6d
8,Burger,1385.6627285435943,854,2391,0.3571727310748641,#feca79
6,food,1459.8581974714696,1003,2311,0.4340112505408914,#feeb9d
4,restaurants,2320.9874271673625,1114,2257,0.4935755427558706,#fffdbc
16,Mac,1043.049385112716,592,1805,0.32797783933518004,#fdbb6c
14,menu,1111.7549998612492,709,1804,0.39301552106430154,#fedc88
22,fries,909.1611351381516,814,1646,0.4945321992709599,#fffdbc
20,chicken,963.1730001047865,796,1528,0.5209424083769634,#f7fcb4
13,fast-food,1133.825165093168,666,1457,0.45710363761153056,#fff2aa
