,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Mercedes Benz,15381.315534882073,12744,29324,0.4345928249897695,#8bcf89
3,AMG,6053.058933683107,3700,7395,0.5003380662609872,#73c476
25,Price,3612.8096060599087,4174,6870,0.6075691411935954,#48ae60
7,Model,5786.918641928071,3110,6191,0.5023421095138104,#73c476
43,used,2987.2046729999524,3508,5794,0.6054539178460476,#4aaf61
1,vehicle,7498.953665670264,3754,5704,0.6581346423562412,#39a257
4,Auto,6036.975680813355,1485,5153,0.28818164176208033,#bce4b5
9,BMW,5333.41264669807,1681,4995,0.33653653653653653,#acdea6
21,sales,3831.3542226142104,3639,4987,0.7296972127531582,#289049
6,Motor,5870.948214171048,1951,4904,0.39783849918433933,#99d595
11,team,5102.50950763355,3305,4363,0.7575063030025212,#218944
2,Stadium,6058.006904034378,3096,4228,0.7322611163670766,#278f48
5,Group,5957.481401398609,2274,4124,0.5514064015518914,#5eb96b
8,Market,5457.60525922783,2789,3863,0.7219777375097075,#2a924a
12,electric,5018.659876498813,2603,3811,0.6830228286538966,#339c52
