,Topic,Score,positive_documents,documents,positive_percentage,colors
0,Business,10340.104912493998,5732,8500,0.6743529411764706,#b3df72
3,Google,8959.736275902216,3145,8148,0.3859842906234659,#fed884
1,services,10296.092255537498,5327,7774,0.6852328273732956,#addc6f
13,Apple,6735.495927771778,1975,6645,0.29721595184349137,#fdad60
6,companies,7630.522234080917,4545,6581,0.6906245251481538,#abdb6d
11,Game,6860.636848158298,2768,6408,0.43196004993757803,#feea9b
2,report,9306.329322401767,4037,6361,0.6346486401509197,#c7e77f
8,Teams,7406.958246460379,4301,6308,0.6818325935320229,#afdd70
24,Activision,5646.998630325641,1361,6163,0.22083400941100115,#f67a49
9,technology,7177.8532266406355,4657,6044,0.7705162144275315,#78c565
4,Global,8540.205876644552,4409,5962,0.7395169406239517,#8ccd67
5,Cloud,7642.781486815769,3785,5702,0.6638021746755525,#b9e176
18,provides,6299.553507750333,4780,5638,0.8478183753103937,#3faa59
10,Xbox,6916.053662604982,2263,5633,0.40173974791407774,#fee08b
19,Amazon,6116.170513627455,2010,5574,0.3606027987082885,#fecc7b
