,Topic,Score,positive_documents,documents,positive_percentage,colors
0,iPad,4739.602027788145,16790,21336,0.7869328833895763,#6ec064
10,RT+Follow,1160.9375,15830,18242,0.8677776559587764,#30a356
6,ريتويت لتغريدة,1255.0312499999352,15532,17899,0.8677579753058831,#30a356
5,تابع,1265.733333333233,15508,16328,0.9497795198432141,#0c7f43
13,130$,1070.0,7017,8176,0.8582436399217221,#39a758
20,فائز,970.0,7307,7643,0.9560382048933664,#0b7d42
37,giveaway,716.6010416666664,1672,3076,0.5435630689206762,#eef8a8
16,album,1027.8002753496505,1663,2795,0.5949910554561717,#daf08d
9,available,1193.3379610158672,1569,1852,0.8471922246220303,#42ac5a
1,Cooper,2576.846629257551,819,1663,0.4924834636199639,#fffdbc
24,version,828.4291999431632,1066,1409,0.7565649396735273,#82c966
17,Price,1026.7015815488635,903,1222,0.7389525368248773,#8ccd67
19,features,974.0761924742093,1081,1176,0.91921768707483,#148e4b
22,video,944.097094261455,708,1152,0.6145833333333334,#d1ec86
2,Apple,2175.5768880393825,559,1144,0.48863636363636365,#fffcba
